,artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,set(), Folk/Acoustic,hip hop,Dance/Electronic, jazz, metal,pop,R&B,latin,country,Folk/Acoustic, Dance/Electronic,World/Traditional, R&B,metal, hip hop, blues, classical, pop, country, easy listening,easy listening, latin,rock, rock,cat,cluster
35,Sean Paul,Gimme the Light,0.3098511098058446,1.0,2002,0.6629213483146067,0.7671394799054374,0.7479080605868023,0.18181818181818182,0.7404387785354284,1.0,0.05300289435600579,0.14445038263047796,4.6802030456852796e-05,0.027179795550210464,0.9465183442079368,0.3133884056433648,"hip hop, pop",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,0
36,Gareth Gates,Unchained Melody,0.3251173392681047,0.0,2003,0.39325842696629215,0.28250591016548465,0.3930727677152844,0.9090909090909091,0.6159205455084494,1.0,0.008140376266280754,0.2612559591336223,5.472081218274112e-06,0.10402886349969932,0.18173066638143118,0.3082966479261695,pop,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222222222222222,1
37,Ashanti,Happy,0.4020681887990171,1.0,2002,0.6853932584269663,0.706855791962175,0.48734244253786674,0.18181818181818182,0.68984089336891,0.0,0.010311143270622289,0.24691141465078,3.7969543147208122e-06,0.12327119663259171,0.7026419937961279,0.19537631271878647,"hip hop, pop, R&B",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.1111111111111111,3
38,Avril Lavigne,Sk8er Boi,0.24518653036810312,0.0,2002,0.8426966292134831,0.4231678486997636,0.8951382268827455,0.0,0.7953849194584446,1.0,0.04522431259044863,4.989852259388709e-05,0.0,0.40469031870114247,0.4769494063536207,0.5961467062692267,pop,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
39,Britney Spears,"I'm Not a Girl, Not Yet a Woman",0.31811200982901605,0.0,2001,0.651685393258427,0.4787234042553192,0.5170003177629489,0.2727272727272727,0.6748196462100998,1.0,0.0023516642547033333,0.5932297028794009,0.0,0.10883944678292243,0.4063536207080971,0.12581547682189453,pop,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222222222222222,1
40,Cam’ron,Oh Boy,0.24708874674656334,1.0,2002,0.7528089887640449,0.7387706855791962,0.7542633195636056,0.5454545454545454,0.7376222946931514,1.0,0.2203328509406657,0.022111910398237344,0.0,0.1809981960312688,0.8449031982030163,0.15245438633711678,"hip hop, pop",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0
41,Puddle Of Mudd,She Hates Me,0.279566531769169,1.0,2001,0.7865168539325843,0.5330969267139479,0.7341383328037284,0.36363636363636365,0.7451823302697895,1.0,0.016461649782923308,0.009560433975750343,0.0,0.8797354179194228,0.5839127179377473,0.3299167285456668,"rock, metal",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6666666666666666,1
42,Outkast,The Whole World (feat. Killer Mike),0.49130530842310033,1.0,2001,0.5730337078651685,0.8096926713947991,0.844296155068319,0.18181818181818182,0.7084692163257239,1.0,0.6834298118668597,0.09813799615730145,1.3401015228426397e-06,0.00877931449188214,0.7261739223446357,0.826502333722287,"hip hop, pop",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7777777777777778,0
43,Beyoncé,Crazy In Love (feat. Jay-Z),0.33176431916280924,0.0,2003,0.8539325842696629,0.6111111111111112,0.7574409490520072,0.18181818181818182,0.687716177487894,0.0,0.3668596237337193,0.0025316071791576227,0.0,0.06013229104028863,0.6876671301743502,0.2595337859340194,"pop, R&B",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2222222222222222,1
44,Busta Rhymes,I Know What You Want (feat. Flipmode Squad),0.5693339009446418,1.0,2002,0.7640449438202247,0.6134751773049646,0.7457896409278678,0.5454545454545454,0.800424943176203,1.0,0.5115774240231549,0.014529794028734992,0.0,0.7534576067348167,0.5133169322922237,0.1722247268484141,"hip hop, pop",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3333333333333333,0
